物品/地点,类型,等级,备注,X坐标,Y坐标,链接标识
"Black Marketeer (Volcano)","黑市商人","15","","-482","-751",""
"Black Marketeer","黑市商人","40","","-801","-629",""
"Black Marketeer","黑市商人","40","","-43","215",""
"Black Marketeer","黑市商人","40","","337","360",""
"Black Marketeer","黑市商人","40","","139","177",""
"Black Marketeer","黑市商人","40","","6","-545",""
"Black Marketeer","黑市商人","40","","136","-359",""
"Black Marketeer","黑市商人","40","","-99","-353",""
"Black Marketeer","黑市商人","40","","-19","-89",""
"Black Marketeer","黑市商人","40","","207","-13",""
"Black Marketeer","黑市商人","40","","-613","-233",""
"Black Marketeer","黑市商人","40","","96","482",""
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","73","-486","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","-67","-425","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","71","-247","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","148","-206","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","356","344","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","-540","-638","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","-44","9","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","-464","131","Arrogant_Pal_Critic"
"自大的帕鲁评赏家","自大的帕鲁评赏家","","","-898","-1011","Arrogant_Pal_Critic"
"Home","建议建家点","","Early Ore mine base","5","-523",""
"Home","建议建家点","","Flat ground fro triple Base","-361","13",""
"Home","建议建家点","","Crude Oil x3","-858","-455",""
"Home","建议建家点","","Hexolite Quartz x2, Crude Oil x1","-1331","-1289",""
"Home","建议建家点","","Hexolite Quartz x3, Crude Oil x1","-1067","-1430",""
"Home","建议建家点","","Flat Ground","-85","-313",""
"Home","建议建家点","","Flower Ground","-57","-419",""
"Home","建议建家点","","","-265","-366",""
"Home","建议建家点","","Flat Ground","-485","-84",""
"Home","建议建家点","","Flat Ground in circle and light, no raid","-85","195",""
"Home","建议建家点","","6 Coal and and 8 Ore, no raid","186","-40",""
"Home","建议建家点","","Flat ground for triple Base","-262","52",""
"Friendly Pal Tamer","洞穴入口","","","-912","-1318",""
"Dinossom Lux","洞穴入口","","","343","571",""
"Fenglope","洞穴入口","","","-252","-431",""
"Menasting","洞穴入口","","","489","83",""
"Broncherry Aqua","洞穴入口","","","-145","-436",""
"Astegon","洞穴入口","","","-584","-415",""
"Lyleen Noct","洞穴入口","","","-147","323",""
"Blazamut","洞穴入口","","","-439","-530",""
"Kingpaca Cryst","洞穴入口","","","-259","481",""
"Elizabee","洞穴入口","","","28","-182",""
"Silvegis","洞穴入口","","","-962","-979",""
"Splatterina","洞穴入口","","","-1203","-1386",""
"Kitsun Noct","洞穴入口","","","-1038","-1196",""
"Breaking and Entering Ram","洞穴入口","","","-1209","-1104",""
"Cannibal Gnaw","洞穴入口","","","-733","-1029",""
